Has a citizen made a request for compliance?,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),Is there a built up Curb Ramp?,"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp? (inches),Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Minimum width of marked Cross Walk? (99 if no Cross Walk),Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Are there Traffic Signals?,Are there Pedestrian Signals?,Is there a push button within reach of sidewalk?,Latitude,Longitude,Street,Crossing Street (or Facility),Ramp Direction,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp?,Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Is there a push button within reach of sidewalk?,Total Curb Ramp Condition Score,Total Gutter Slope Condition Score,Total Adjacent Walk Condition Score,Total Crosswalk Condition Score,Total Ped Signal Condition Score,Total Condition  Score,Has a citizen made a request for compliance?,Population Density,Senior Population Density,Disabled Population Density,Distance from Public Places,Distance form Transit Route,Total Location Rating,TOTAL RATING
No,No,Yes,Yes,No,99,No,Yes,No,Yes,3.1,54,1.1,1.8,8.5,59,2.6,2.7,Yes,66,0.5,2.7,Yes,No,No,41.602041,-87.823374,100th Avenue,159th Street,NE,0,0,0,10,,0,10,0,10,0,0,0,3,0,7,0,0,0,0,,30,3,7,0,,40,0,5,7,7,5,0,24,64
No,No,No,No,No,99,No,Yes,No,Yes,1.3,56,3.7,11.2,0.1,60,2.8,0.6,Yes,73,0.5,2,No,No,No,41.705316,-87.748771,103rd Street,51st Court,SE,0,20,10,10,,0,10,0,0,0,10,10,0,0,7,0,0,0,0,,70,0,7,0,,77,0,7,10,3,10,3,33,110
No,No,No,No,No,99,No,Yes,No,Yes,0.8,58,4.1,11.1,0.3,60,2.3,0.7,Yes,73,1.8,0.4,No,No,No,41.705319,-87.748858,103rd Street,51st Court,SW,0,20,10,10,,0,10,0,0,0,10,10,0,0,7,0,0,0,0,,70,0,7,0,,77,0,7,10,3,10,3,33,110
No,No,No,No,No,35,No,Yes,No,Yes,3.3,185,5.6,3.5,2.8,60,0.5,1.6,Yes,72,0.3,0.8,Yes,Yes,Yes,41.705541,-87.749908,103rd Street,52nd Avenue,NE,0,20,10,10,5,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,7,7,7,10,3,34,109
No,No,No,No,No,26.8,No,Yes,No,Yes,1.2,190,4.1,4.5,0.6,60,0.1,0.4,Yes,72,0.7,2,Yes,Yes,Yes,41.705547,-87.750152,103rd Street,52nd Avenue,NW,0,20,10,10,5,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,65,0,0,0,0,65,0,7,7,7,10,3,34,99
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,0.8,56,1.1,9.1,1.6,59,1.4,0.1,Yes,99,4.1,2.4,No,No,No,41.704268,-87.799706,103rd Street,73rd Avenue,SE,0,0,0,0,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,,20,0,0,0,,20,0,3,5,3,5,3,19,39
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,3.1,53,2.6,3.5,2.1,59,5.6,2,Yes,99,5.3,0.9,No,No,No,41.704272,-87.799897,103rd Street,73rd Avenue,SW,0,0,0,0,,0,10,0,10,0,10,0,0,0,7,0,0,4,0,,30,0,7,4,,41,0,3,5,3,5,3,19,60
No,No,Yes,Yes,Yes,15.7,No,No,No,Yes,1.8,46,0.3,4.7,0.2,56,3.6,1.3,Yes,99,1.4,0.8,No,No,No,41.70424,-87.801416,103rd Street,73rd Court,SE,0,0,0,0,5,10,10,0,0,10,0,0,0,0,7,0,0,0,0,,35,0,7,0,,42,0,3,5,3,5,3,19,61
No,No,Yes,Yes,Yes,99,No,No,No,Yes,1.3,56,0.5,0.7,0.3,58,0.3,0.2,Yes,99,0.7,1.1,No,No,No,41.704219,-87.801571,103rd Street,73rd Court,SW,0,0,0,0,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,20,0,0,0,,20,0,3,5,3,5,3,19,39
No,No,Yes,Yes,Yes,99,No,No,No,Yes,3.3,52,1.8,1.2,0.4,55,4.7,1.8,Yes,99,3.8,1.8,No,No,No,41.704196,-87.803184,103rd Street,74th Avenue,SE,0,0,0,0,,10,10,0,10,0,0,0,0,0,7,0,0,0,0,,30,0,7,0,,37,0,3,5,3,5,3,19,56
