route_id,region_id,street_edge_id,way_type,geom
,9,13,residential,0102000020E6100000030000001192600553995EC08DAFE2F9B1D647401E49939C5D995EC0F2BC0ADFB1D64740836E8A227F995EC0A5677A89B1D64740
,9,35,residential,0102000020E610000002000000D08BC9D152995EC069577C9E9AD647401192600553995EC08DAFE2F9B1D64740
,9,37,residential,0102000020E61000000200000017AE580D53995EC0F805AA3583D64740D08BC9D152995EC069577C9E9AD64740
,9,44,tertiary,0102000020E610000003000000836E8A227F995EC0A5677A89B1D64740F4F8BD4D7F995EC059F6C9F6C6D64740125784517F995EC0229518BAC8D64740
,1,72,residential,0102000020E6100000050000002F432D173B975EC059AC3CDC69C647401EDE736039975EC09A6DB8D969C64740B11298F331975EC0822BEADD69C64740CF76966A30975EC01DF0AFD469C64740AB35DE6726975EC0E26135F169C64740
,1,117,secondary,0102000020E6100000040000002F432D173B975EC059AC3CDC69C647401D1D57233B975EC0C5DE307667C647406B16C3303B975EC0B537F8C264C64740CA4C0E443B975EC0BD62FCEA60C64740
,1,118,secondary,0102000020E610000002000000CA4C0E443B975EC0BD62FCEA60C6474035A440553B975EC0FAA0C26C5DC64740
,8,181,residential,0102000020E6100000020000009EB12FD978955EC07C3D04FAE9CC4740DFDC04847B955EC053BE56F8E9CC4740
,8,184,tertiary,0102000020E610000002000000EB5CAC037B955EC0C6C1A563CECC47408061F9F36D955EC0DE318683CECC4740
,8,190,residential,0102000020E6100000030000003E07962364955EC0CA367007EACC47407EA8346266955EC0A0B7C205EACC474051DD5CFC6D955EC0233ABA00EACC4740
,8,242,primary,0102000020E6100000020000004460F6FC7A955EC0DD239BABE6CC4740DFDC04847B955EC053BE56F8E9CC4740
,8,243,residential,0102000020E61000000200000051DD5CFC6D955EC0233ABA00EACC47409EB12FD978955EC07C3D04FAE9CC4740
,8,254,primary,0102000020E610000005000000EB5CAC037B955EC0C6C1A563CECC4740D303D5F57A955EC024AA0194D0CC4740C181DAB97A955EC088B43286DECC47404A37D3CE7A955EC0B5824B6CE3CC47404460F6FC7A955EC0DD239BABE6CC4740
,8,258,tertiary,0102000020E6100000030000008061F9F36D955EC0DE318683CECC47401382B0AE65955EC067E77E98CECC47409D54EA4864955EC0A8A8FA95CECC4740
,5,272,tertiary,0102000020E610000004000000AB73B10EEC965EC02CBB6070CDD24740ED1EEA880D975EC05B3FFD67CDD247403D75F6DF14975EC0553A0E72CDD24740603134E815975EC00E74A37ECDD24740
,5,282,tertiary,0102000020E610000003000000B2231F0519975EC0B61C9E149CD24740A6D425E318975EC0132DD4F59FD24740A0B82DDB18975EC0E91DB814A1D24740
,5,283,tertiary,0102000020E610000002000000A0B82DDB18975EC0E91DB814A1D24740174850FC18975EC008BCDDDCA9D24740
